iter	Passed	Remaining
182	261	1168
183	262	1163
184	262	1157
185	263	1151
186	263	1146
187	264	1140
188	264	1135
189	265	1130
190	265	1125
191	266	1119
192	266	1114
193	266	1109
194	267	1103
195	267	1098
196	268	1093
197	268	1088
198	269	1083
199	269	1078
200	270	1073
201	270	1068
202	270	1063
203	271	1059
204	272	1055
205	272	1050
206	273	1046
207	273	1041
208	274	1037
209	274	1032
210	275	1028
211	275	1023
212	275	1019
213	276	1015
214	276	1010
215	277	1006
216	277	1002
217	278	997
218	278	993
219	279	989
220	279	986
221	280	982
222	280	978
223	281	974
224	281	970
225	282	966
226	282	962
227	283	958
228	283	954
229	284	950
230	284	947
231	284	943
232	285	939
233	285	935
234	286	932
235	286	928
236	287	925
237	287	921
238	288	918
239	288	914
240	289	910
241	289	907
242	290	903
243	290	900
244	291	896
245	291	893
246	292	890
247	292	886
248	292	883
249	293	880
250	293	876
251	294	874
252	295	871
253	295	867
254	295	864
255	296	861
256	296	858
257	297	855
258	297	852
259	298	848
260	298	845
261	299	842
262	299	839
263	299	836
264	300	833
265	300	830
266	301	827
267	301	824
268	302	821
269	302	819
270	303	816
271	303	813
272	304	810
273	304	807
274	305	804
275	305	801
276	306	799
277	306	796
278	306	793
279	307	790
280	307	787
281	308	785
282	308	782
283	309	779
284	309	777
285	310	774
286	310	771
287	311	769
288	311	766
289	312	763
290	312	761
291	313	759
292	313	756
293	313	753
294	314	751
295	314	748
296	315	746
297	315	743
298	316	741
299	316	738
300	317	737
301	317	734
302	318	732
303	318	730
304	319	727
305	319	725
306	320	722
307	320	720
308	321	718
309	321	715
310	322	713
311	322	711
312	322	708
313	323	706
314	323	704
315	324	702
316	324	699
317	325	697
318	325	695
319	326	693
320	326	691
321	327	689
322	327	686
323	328	684
324	328	682
325	329	680
326	329	678
327	329	676
328	330	673
329	330	671
330	331	669
331	331	667
332	332	665
333	332	663
334	333	661
335	333	659
336	334	657
337	334	655
338	335	653
339	335	651
340	336	649
341	336	647
342	337	645
343	337	643
344	337	641
345	338	639
346	338	637
347	339	635
348	340	634
349	340	632
350	341	630
351	341	628
352	342	627
353	342	625
354	342	623
355	343	621
356	343	619
357	344	617
358	344	615
359	345	613
360	345	612
361	346	610
362	346	608
363	347	606
364	347	605
365	348	603
366	348	601
367	349	599
368	349	598
369	350	596
370	350	594
371	351	593
372	351	591
373	352	589
374	352	587
375	353	586
376	353	584
377	354	582
378	354	581
379	355	579
380	355	578
381	356	576
382	356	574
383	357	572
384	357	571
385	358	569
386	358	567
387	358	566
388	359	564
389	359	562
390	360	561
391	360	559
392	361	558
393	361	556
394	362	555
395	363	553
396	363	552
397	363	550
398	364	548
399	364	547
400	365	545
401	365	544
402	366	542
403	366	541
404	367	539
405	367	537
406	367	536
407	368	534
408	369	533
409	369	531
410	370	530
411	370	529
412	371	527
413	371	526
414	372	524
415	372	523
416	373	522
417	374	520
418	374	519
419	375	518
420	375	516
421	376	515
422	377	514
423	377	513
424	378	512
425	379	510
426	379	509
427	380	507
428	380	506
429	381	505
430	381	503
431	382	502
432	382	501
433	383	499
434	383	498
435	384	496
436	384	495
437	385	494
438	385	493
439	386	491
440	386	490
441	387	488
442	387	487
443	388	486
444	388	484
445	389	483
446	389	481
447	389	480
448	390	479
449	390	477
450	391	476
451	391	474
452	392	473
453	392	472
454	393	470
455	393	469
456	394	468
457	394	466
458	395	465
459	395	464
460	395	462
461	396	461
462	396	460
463	397	458
464	397	457
465	398	456
466	398	455
467	399	453
468	399	452
469	400	451
470	400	450
471	401	448
472	401	447
473	402	446
474	402	445
475	403	443
476	403	442
477	404	441
478	404	439
479	404	438
480	405	437
481	405	436
482	406	434
483	406	433
484	407	432
485	407	431
486	408	430
487	408	428
488	409	427
489	409	426
490	410	425
491	410	423
492	411	422
493	411	421
494	412	420
